 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 
   252    2.231          12.000        1542.000         793.000;
   253    2.240          12.000        1542.000         793.000;
   254    2.249          12.000        1542.000         793.000;
   255    2.258          12.000        1542.000         793.000;
   256    2.267          12.000        1542.000         793.000;
   257    2.276          12.000        1542.000         793.000;
   258    2.284          12.000        1542.000         793.000;
   259    2.293          12.000        1542.000         794.000;
   260    2.302          12.000        1542.000         794.000;
   261    2.311          12.000        1542.000         794.000;
   262    2.320          12.000        1542.000         794.000;
   263    2.329          12.000        1542.000         794.000;
   264    2.338          12.000        1542.000         794.000;
   265    2.346          12.000        1542.000         793.000;
   266    2.355          12.000        1542.000         793.000;
   267    2.364          12.000        1542.000         793.000;
   268    2.373          12.000        1542.000         793.000;
   269    2.382          12.000        1542.000         793.000;
   270    2.391          12.000        1542.000         793.000;
   271    2.399          12.000        1542.000         793.000;
   272    2.408          12.000        1542.000         793.000;
   273    2.417          12.000        1542.000         793.000;
   274    2.426          12.000        1542.000         793.000;
   275    2.435          12.000        1542.000         793.000;
   276    2.444          12.000        1542.000         793.000;
   277    2.453          12.000        1542.000         793.000;
   278    2.461          12.000        1542.000         793.000;
   279    2.470          12.000        1542.000         793.000;
   280    2.479          12.000        1542.000         793.000;
   281    2.488          12.000        1542.000         793.000;
   282    2.497          12.000        1542.000         793.000;
   283    2.506          12.000        1542.000         793.000;
   284    2.515          12.000        1542.000         793.000;
   285    2.523          12.000        1542.000         793.000;
   286    2.532          12.000        1542.000         793.000;
   287    2.541          12.000        1542.000         793.000;
   288    2.550          12.000        1542.000         793.000;
   289    2.559          12.000        1542.000         793.000;
   290    2.568          12.000        1542.000         793.000;
   291    2.577          12.000        1542.000         793.000;
   292    2.585          12.000        1542.000         793.000;
   293    2.594          12.000        1542.000         793.000;
   294    2.603          12.000        1542.000         793.000;
   295    2.612          12.000        1542.000         793.000;
   296    2.621          12.000        1542.000         793.000;
   297    2.630          12.000        1542.000         793.000;
   298    2.639          12.000        1542.000         793.000;
